property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"  House for Sale in Chikuwadi Surat","Super Area","2000 sqft",NULL,"Ready to Move",NULL,NULL,NULL,NULL,"₹2,000 per sqft ","₹40 Lac ",278,1,2000.00,4000000,2000
"  House for Sale in Kamrej Surat",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"₹24 Lac ",880,1,NULL,2400000,NULL
"  Land for Sale in Bardoli Surat","Built Area","291000 sqft",NULL,NULL,NULL,NULL,NULL,"291000 Sq-ft Commercial Land is available for Sale in Bardoli, Surat for 41.0 Crore(s)Read more","₹1,409 per sqft ","₹41 Cr ",3682,1,291000.00,410000000,1409
"  Land for Sale in Bardoli Surat","Built Area","302400 sqft",NULL,NULL,NULL,NULL,NULL,"beat location for residential and commercial projects","₹177 per sqft ","₹10 Cr ",3771,1,302400.00,100000000,177
"  Land for Sale in Bardoli Surat","Built Area","302400 sqft",NULL,NULL,NULL,NULL,NULL,"valod agriculture property title clear property","₹397 per sqft ","₹12 Cr ",3707,1,302400.00,120000000,397
"  Land for Sale in blue heaven1 plot no 33 Surat","Built Area","2745 sqft",NULL,NULL,NULL,NULL,NULL,"main road touch plot","₹2,805 per sqft ","₹77 Lac ",1745,1,2745.00,7700000,2805
"  Land for Sale in Katar Gam Surat","Built Area","2500 sqft",NULL,NULL,NULL,NULL,NULL,"Superb location, great for business purposes. A Commercial Land available in Katar Gam, Surat for immediate sale. This opportunity for investment should not be missed. Buy now to get maximum returns in future. Please contact immediately for more information.Read more","₹14,200 per sqft ","₹3.55 Cr ",3727,1,2500.00,35500000,14200
"  Land for Sale in Katargam Surat","Built Area","2800 sqft",NULL,NULL,NULL,NULL,NULL,"2800 Sq-ft Commercial Land is available for Sale in Katargam, Surat for 1.2 Crore(s)Read more","₹4,321 per sqft ","₹1.21 Cr ",3125,1,2800.00,12100000,4321
"  Land for Sale in Nanpura Surat","Built Area","1800 sqft",NULL,NULL,NULL,NULL,NULL,"business location area","₹22,222 per sqft ","₹4 Cr ",4098,1,1800.00,40000000,22222
"  Land for Sale in Narthan Surat","Built Area","145 sqft",NULL,NULL,NULL,NULL,NULL,"very hot location, society in high demand","₹8,966 per sqft ","₹13 Lac ",1370,1,145.00,1300000,8966
"  Land for Sale in Palanpur Surat","Built Area","61000 sqft",NULL,NULL,NULL,NULL,NULL,"61000 Sq-ft Commercial Land is available for Sale in Palanpur, Surat for 2.0 Crore(s)Read more","₹328 per sqft ","₹2 Cr ",4014,1,61000.00,20000000,328
"  Land for Sale in Pasodara Surat","Built Area","5733 sqft",NULL,NULL,NULL,NULL,NULL,NULL,"₹11,512 per sqft ","₹6.60 Cr ",3760,1,5733.00,66000000,11512
"  Land for Sale in Sachin Surat","Built Area","3150 sqft",NULL,NULL,NULL,NULL,NULL,NULL,"₹1,556 per sqft ","₹49 Lac ",1083,1,3150.00,4900000,1556
"  Land for Sale in Shyam plaza - surat bardoli road kadodara Surat","Built Area","600 sqft",NULL,NULL,NULL,NULL,NULL,NULL,"₹6,667 per sqft ","₹40 Lac ",456,1,600.00,4000000,6667
"  Land for Sale in Udhog nagar navagam Surat","Built Area","95000 sqft",NULL,NULL,NULL,NULL,NULL,"Commercial land is available for sale. It has plot area of 95000 sq-ft, it is a good location property. Please contact for more details.Read more","₹1 per sqft ","₹1 Lac ",462,1,95000.00,100000,1
"  Office Space for Sale in 21st Century Business House, Ring Road Surat","Super Area","768 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"Commercial office space is available for sale. It is a good location property. Please contact for more details.Read more","₹9,375 per sqft ","₹72 Lac ",1776,1,768.00,7200000,9375
"  Office Space for Sale in Aagam Velocity, Adajan Surat","Carpet Area","470 sqft",Resale,"Ready to Move","5 out of 12",NULL,NULL,NULL,"₹9,043 per sqft ","₹85 Lac ",1823,1,470.00,8500000,9043
"  Office Space for Sale in Aagam Velocity, Adajan Surat","Carpet Area","470 sqft",Resale,"Ready to Move","5 out of 13",NULL,NULL,NULL,"₹9,574 per sqft ","₹90 Lac ",1717,1,470.00,9000000,9574
"  Office Space for Sale in Aakash Business Centre, Piplod Surat","Carpet Area","1100 sqft","New Property","Ready to Move","4 out of 4",NULL,NULL,"Main Road Facing Property, Suitable for office space","₹45 per sqft ","₹1 Lac ",783,1,1100.00,100000,45
"  Office Space for Sale in Adajan Patiya Surat","Carpet Area","260 sqft",Resale,"Ready to Move","1 out of 11",NULL,NULL,"Commercial Office for Sell in Adajan Area.Contact For More Details .Read more","₹7,561 per sqft ","₹31 Lac ",1394,1,260.00,3100000,7561
"  Office Space for Sale in Adajan Patiya Surat","Super Area","950 sqft",Resale,"Ready to Move","1 out of 2",NULL,NULL,"Embark on a journey of professional excellence with an exceptional opportunity! Up for sale is this office space in Adajan Patiya, Surat. This office space benefits from its proximity to prominent landmarks and essential amenities, making it an ideal location for any business. Property specifications This spacious office space boasts a total super area of 950 square feet, providing ample room for your business operations. Located on the first floor of a two-storey building, this office space offers convenience and accessibility. Whether you're looking to set up a new office or expand your existing business, this unfurnished open hall provides a versatile canvas for customization, allowing you to tailor the space to your specific needs and preferences.The office space features one well-maintained washroom, ensuring convenience for you and your employees. The flooring is adorned with marble, lending a touch of elegance and sophistication to the workspace. Situated on the main road, this office space enjoys excellent visibility and accessibility, attracting potential clients and customers. Furthermore, it is Vaastu-compliant, ensuring a harmonious and positive work environment.With ample natural light and ventilation, this office space creates a pleasant and conducive atmosphere for productivity and well-being. The abundance of natural light uplifts the ambiance and reduces the reliance on artificial lighting. Best suited for any commercial office, this space offers limitless possibilities for various businesses, be they corporate offices, startups, consulting firms, or service-oriented enterprises.FacilitiesThis office space also offers the added convenience of covered parking. You can rest assured knowing that your vehicles will be protected and secure. Furthermore, the office space benefits from a round-the-clock water supply, ensuring uninterrupted access to water for your business needs.LocalityLocated adjacent to Adajan Bus Station and Adajan Circle, the office space enjoys excellent connectivity and accessibility for both your employees and clients. Within a 1-km radius, you'll find hospitals and supermarkets that provide easy access to essential supplies.Public transportation is easily available, with a variety of buses and autos passing by, making commuting to and from the office space effortless for your employees and clients. Banks and ATMs are conveniently located within a 500-meter radius, providing easy access to financial services and facilitating smooth banking transactions.Read more","₹10,526 per sqft ","₹1 Cr ",1452,1,950.00,10000000,10526
"  Office Space for Sale in Adajan Surat","Carpet Area","150 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"It is a pre leased shop for 8 years and in adajan area near prime arcade. It is fully furnished.Read more","₹15,600 per sqft ","₹39 Lac ",837,1,150.00,3900000,15600
"  Office Space for Sale in Adajan Surat","Carpet Area","2737 sqft","New Property","Ready to Move","4 out of 21",NULL,NULL,"Best Commercial property for investors , Private Office , CA office , Software officeRead more","₹4,280 per sqft ","₹2.46 Cr ",3867,1,2737.00,24600000,4280
"  Office Space for Sale in Adajan Surat","Carpet Area","576 sqft",Resale,"Ready to Move","5 out of 5",NULL,NULL,"Available for sale is commercial office space that is located in the prime area of Adajan, Surat. This fully furnished commercial office space is absolutely ready to move and faces the main road enjoying the highest visibility required for any business venture. So, hurry up and seal this deal!!  Property Specifications  Best suitable for a training center, private office or BPO, this commercial office space is thoughtfully built with vaastu rules promising you tremendous growth in your business venture. Further, this well ventilated and airy commercial office spreads across a super area of 1200 sq ft and a carpet area of 576sqft.  Positioned on the 5th floor, this office space is inclusive of a hall, 2 cabins, 22 workstations, a reception cum waiting area, a conference room, 2 common washrooms and 3 air conditioners for the comfort of the employees. Furthermore, this office space is entirely covered with top quality vitrified tile flooring that is easy to clean and maintain.  Facilities  Basic facilities such as covered parking space, round the clock water supply, 100% power backup, lift and high level security via CCTV cameras and security guards are available here.  Locality Vasu Pujya Residence is the nearest landmark to this property. In case of medical emergencies, well known hospitals are located at a distance of 1km. A hotel and Raj Corner Shopping Center are situated in the same building whereas other social amenities are situated in the vicinity. For banking needs and services, prominent banks and ATMs are present nearby. The railway station is dotted at a distance of 8km whereas other public transport facilities such as taxis, auto rickshaws and buses are easily available here. Read more","₹8,333 per sqft ","₹1 Cr ",1597,1,576.00,10000000,8333
"  Office Space for Sale in Adajan Surat","Super Area","1382 sqft","New Property","Poss. by Dec '28","5 out of 11",NULL,NULL,"lifestyle that satisfy your every single wish","₹7,200 per sqft ","₹99.5 Lac ",2103,1,1382.00,9950000,7200
"  Office Space for Sale in Adajan Surat","Super Area","350 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,NULL,"₹9,143 per sqft ","₹32 Lac ",833,1,350.00,3200000,9143
"  Office Space for Sale in Adajan Surat","Super Area","650 sqft",Resale,"Ready to Move","3 out of 7",NULL,NULL,NULL,"₹5,385 per sqft ","₹35 Lac ",778,1,650.00,3500000,5385
"  Office Space for Sale in Adajan Surat","Super Area","980 sqft",Resale,"Ready to Move","9 out of 10",NULL,NULL,"  Commercial Office Space is available for Sale in Adajan, Surat for 95.0 Lac(s)Read more","₹9,694 per sqft ","₹95 Lac ",1545,1,980.00,9500000,9694
"  Office Space for Sale in Althan Surat","Carpet Area","500 sqft",Resale,"Ready to Move","2 out of 3",NULL,NULL,NULL,"₹8,000 per sqft ","₹80 Lac ",1683,1,500.00,8000000,8000
"  Office Space for Sale in Althan Surat","Super Area","1300 sqft",Resale,"Ready to Move","2 out of 5",NULL,NULL,NULL,"₹6,154 per sqft ","₹80 Lac ",1913,1,1300.00,8000000,6154
"  Office Space for Sale in Amby Valley Heights and Arcade, Uttran Surat","Super Area","482 sqft",NULL,"Ready to Move",NULL,NULL,NULL,NULL,"₹7,261 per sqft ","₹35 Lac ",281,1,482.00,3500000,7261
"  Office Space for Sale in Amroli Surat","Super Area","178 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹9,551 per sqft ","₹17 Lac ",623,1,178.00,1700000,9551
"  Office Space for Sale in Amroli Surat","Super Area","456 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,"  Commercial Office Space is available for Sale in Amroli, Surat for 18.0 Lac(s)Read more","₹3,947 per sqft ","₹18 Lac ",133,1,456.00,1800000,3947
"  Office Space for Sale in Anand Mahal Road Surat","Carpet Area","275 sqft",Resale,"Ready to Move","3 out of 8",NULL,NULL,"Prime location with best construction quality","₹6,002 per sqft ","₹25.5 Lac ",626,1,275.00,2550000,6002
"  Office Space for Sale in Begampura Surat","Super Area","245 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,NULL,"₹8,163 per sqft ","₹20 Lac ",399,1,245.00,2000000,8163
"  Office Space for Sale in Begampura Surat","Super Area","403 sqft",Resale,"Ready to Move","7 out of 11",NULL,NULL,NULL,"₹6,203 per sqft ","₹25 Lac ",152,1,403.00,2500000,6203
"  Office Space for Sale in Belgium Tower Ring Rode Surat","Carpet Area","816 sqft",Resale,"Ready to Move","3 out of 12",NULL,NULL,"Commercial office space is available for sale. It has carpet area 816 sq-ft. Please contact for more details.Read more","₹4,534 per sqft ","₹37 Lac ",10,1,816.00,3700000,4534
"  Office Space for Sale in Bhakti Valentina Business Hub, Adajan Surat","Super Area","555 sqft","New Property","Ready to Move","3 out of 11",NULL,NULL,NULL,"₹9,009 per sqft ","₹50 Lac ",397,1,555.00,5000000,9009
"  Office Space for Sale in Bhatar Road Surat","Super Area","3000 sqft",Resale,"Ready to Move","Ground out of 11",NULL,NULL,"  Commercial Office Space is available for Sale in Bhatar Road, Surat for 1.8 Crore(s)Read more","₹6,033 per sqft ","₹1.81 Cr ",3724,1,3000.00,18100000,6033
"  Office Space for Sale in Bhatar Road Surat","Super Area","614 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,NULL,"₹10,586 per sqft ","₹65 Lac ",2117,1,614.00,6500000,10586
"  Office Space for Sale in Bhatar Road Surat","Super Area","615 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"Presenting a unique opportunity to own a well-appointed office space on Bhatar Road, Surat. This property, which was previously utilized by neurosurgeons, offers an ideal setting for various professional purposes.::::::Property specifications and facilities::::::Boasting a super area of 615 sqft, this office space is located on the mezzanine floor, ensuring ample natural light and ventilation, creating a comfortable and productive work environment. Fully furnished, this office space features an open hall design, two cabins for privacy, a reception area, and a welcoming waiting area. Additionally, a well-equipped dry pantry is available to cater to refreshment needs.::::::The space includes a well-maintained washroom and is fitted with air conditioning units to ensure a comfortable ambiance. The flooring is laid with vitrified tiles, adding a touch of sophistication. Strategically positioned, this property faces the main road, offering excellent visibility. Its versatile layout makes it suitable for various commercial purposes such as an office, hospital, or super specialty center.::::::Facilitating convenience, this office space comes with one covered parking and one open parking spot. Essential amenities are well-covered, with round-the-clock water supply, 100% power backup, and security provisions including CCTVs and a security guard. Elevators are also available for easy access to the mezzanine floor.::::::Locality::::::Nestled in a prominent area, this property is landmarked by its proximity to Vidya Bhari School. Hospitals, malls, supermarkets, and banks/ATMs are all within a short distance (within 1 km), ensuring convenience for clients and staff. Public transportation options including buses and autos are easily accessible, with an upcoming metro station within walking distance.Read more","₹10,569 per sqft ","₹65 Lac ",1845,1,615.00,6500000,10569
"  Office Space for Sale in Bhatar Surat","Super Area","341 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,NULL,"₹4,106 per sqft ","₹14 Lac ",177,1,341.00,1400000,4106
"  Office Space for Sale in Bhestan Surat","Carpet Area","1950 sqft","New Property","Ready to Move","2 out of 2",NULL,NULL,"Shop no - 4/5/6 Vidhata complex  TP no -21 , FpNo- 49 , Citi survey no  1484/2 Bhestan area  Surat  Shop area is  223 sq Mtr that’s 2000 sq ft approximatelyRead more","₹3,250 per sqft ","₹65 Lac ",1854,1,1950.00,6500000,3250
"  Office Space for Sale in Cannal walk shoppers  vesu Surat","Super Area","1430 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,NULL,"₹4,545 per sqft ","₹65 Lac ",1707,1,1430.00,6500000,4545
"  Office Space for Sale in Citylight Area Surat","Carpet Area","1156 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,"Discover a prime opportunity with this office space for sale, nestled in the esteemed Citylight Area of Surat. Positioned for success, this property offers an ideal setting for diverse commercial ventures.Property SpecificationsSpanning a total super area of 1726 square feet, with a generous carpet area of 1156 square feet, this office space occupies the prestigious first floor of a three-story building. Featuring two distinct shops, measuring 590 square feet and 1136 square feet respectively, the property boasts versatility and ample space for customization. With one washroom, this semi-furnished gem offers convenience and functionality. Equipped with pre-installed AC points and adorned with sleek vitrified tile flooring, the ambiance exudes professionalism and modernity. Positioned advantageously facing the main road, it presents a captivating facade, ideal for drawing in clientele. Suited for a spectrum of commercial endeavors, from offices to coaching classes and gyms, its adaptability knows no bounds. Moreover, its vaastu compliance ensures harmony and prosperity, while abundant natural light and ventilation foster a welcoming atmosphere.FacilitiesConvenience is paramount, with common open parking ensuring hassle-free arrivals for staff and visitors alike. The property benefits from round-the-clock water supply, guaranteeing uninterrupted operations. Further enhancing security measures, CCTV surveillance is discreetly integrated, providing peace of mind to occupants.LocalitySituated within a bustling neighbourhood, essential amenities are plenty closeby. With clinics conveniently located within the building and hospitals mere steps away, medical needs are readily addressed. Retail therapy is at hand, with malls a mere 120 meters distant, offering a plethora of shopping and dining options. Banking services and ATMs are in close proximity, facilitating seamless financial transactions. Accessibility is hassle-free, with public transport readily available, ensuring connectivity across the city. For those traveling further afield, the railway station lies a mere 7.5 kms away, while the airport is conveniently situated 5 to 6 kms distant, making business travel effortless.Read more","₹6,000 per sqft ","₹1.03 Cr ",3034,1,1156.00,10300000,6000
"  Office Space for Sale in Citylight Area Surat","Super Area","496 sqft",Resale,"Ready to Move","1 out of 6",NULL,NULL,"furnished office, posh area in surat","₹10,081 per sqft ","₹50 Lac ",1342,1,496.00,5000000,10081
"  Office Space for Sale in Citylight Surat","Super Area","2350 sqft",Resale,"Ready to Move","3 out of 7",NULL,NULL,"Commercial office space is available for sale. It is a good location property. Please contact for more details.Read more","₹10,638 per sqft ","₹2.50 Cr ",3770,1,2350.00,25000000,10638
"  Office Space for Sale in Galemandi Surat","Super Area","25,000 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"We like to sell our property at Delhi Gate area, Station Road, Surat having AMENITIES Electricity supply Parking facility Water supply Proximity area Basement facility RCC structure with walls Open to sky terrace Earthquake resistant Safe surroundings Easy access to Public transportCALL Prasanna Acharya9376 102450Read more","₹8,000 per sqft ","₹20 Cr ",3802,1,25.00,200000000,8000
"  Office Space for Sale in Ghod Dod Road Surat","Carpet Area","1320 sqft",Resale,"Ready to Move","3 out of 8",NULL,NULL,"The above mentioned office space is 2400 sq.Ft. Front office on 3rd floor of union point building located in very posh area of ghod dod road. All the major brands like g3, puma and nike have stores in union point. It is on main road of the ghod dod and easily accessible.The office is specious and will be best fir for the personal office use for professional like consultants, lawyers, or any clinic.Read more",NULL,"Call for Price",4408,1,1320.00,NULL,NULL
"  Office Space for Sale in Ghod Dod Road Surat","Super Area","650 sqft",NULL,NULL,"2 out of 3",NULL,NULL,NULL,"₹12,000 per sqft ","₹78 Lac ",1639,1,650.00,7800000,12000
"  Office Space for Sale in Gopipura Surat","Super Area","200 sqft",Resale,"Ready to Move","Upper Basement out of 5",NULL,NULL,"If you are looking for a Commercial Office Space, then heres your chance to get the best deal. An exclusive Commercial Office Space located in Gopipura Surat is currently on offer for Sale. Highly in demand, contact the advertiser now.Read more","₹5,000 per sqft ","₹10 Lac ",1038,1,200.00,1000000,5000
"  Office Space for Sale in Happy Green Signature Shoppers, Vesu Surat","Carpet Area","450 sqft","New Property","Ready to Move","3 out of 4",NULL,NULL,"Presenting an exclusive opportunity to own a prestigious office space in the renowned Happy Green Signature Shoppers complex, located in the vibrant Vesu area of Surat! This prime office space offers a blend of elegance, convenience, and amenities, making it the ideal choice for businesses seeking a premium address. Don't miss out on the chance to elevate your business presence in one of Surat's most sought-after commercial destinations!::::::Property Specifications::::::Occupying a super area of 892 sqft, with a carpet area of 446 sqft, this office space is located on the 3rd floor of a well-maintained 4-floor building, offering a prime position for your business endeavours.::::::With an east-facing orientation, this office space is bathed in natural light and ventilation, creating a pleasant and productive work environment. Currently unfurnished, it features an open hall layout, allowing for versatile customization according to your business needs. Additionally, a pantry is available for refreshments, while a washroom ensures convenience for staff and clients alike. ::::::The flooring is tastefully done with vitrified tiles, enhancing the space's aesthetic appeal and functionality and making it ideal for various commercial office purposes.::::::Facilities::::::This commercial property offers essential facilities including covered and open parking, 24-hour water supply, 100% power backup, round-the-clock security with CCTV surveillance, and swift access to all floors via a reliable lift.::::::Locality::::::Conveniently located, the office space is close to notable landmarks such as Rebounse, and hospitals, malls, supermarkets, and banks/ATMs are in the vicinity, ensuring easy access to essential services and amenities. Public transport options including buses and autos are readily available, facilitating seamless commuting for employees and clients. Furthermore, the airport is just 3km away, while the railway station is approximately 12km away, providing excellent connectivity for your business operations.::Read more","₹4,556 per sqft ","₹41 Lac ",344,1,450.00,4100000,4556
"  Office Space for Sale in Happy Hallmark, Vesu Surat","Super Area","256 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,"SIX THREE FIVE ONE FIVE TWO EIGHT ONE EIGHT FOUR for more details pls contactRead more","₹7,813 per sqft ","₹20 Lac ",492,1,256.00,2000000,7813
"  Office Space for Sale in Hari Pura Surat","Super Area","320 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,"  Commercial Office Space is available for Sale in Hari Pura, Surat for 60.0 Lac(s)Read more","₹18,750 per sqft ","₹60 Lac ",1579,1,320.00,6000000,18750
"  Office Space for Sale in Hirabag Surat","Carpet Area","110 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"Fully Furnished redy to move office like Shop in Popular are HirabagRead more","₹7,315 per sqft ","₹9.5 Lac ",79,1,110.00,950000,7315
"  Office Space for Sale in International Finance Centre, VIP Road Surat","Carpet Area","553 sqft",Resale,"Ready to Move","5 out of 9",NULL,NULL,NULL,"₹7,227 per sqft ","₹80 Lac ",1678,1,553.00,8000000,7227
"  Office Space for Sale in Jahangir Pura Surat","Super Area","250 sqft",Resale,"Ready to Move","3 out of 5",NULL,NULL,NULL,"₹8,500 per sqft ","₹21.3 Lac ",615,1,250.00,2130000,8500
"  Office Space for Sale in Jahangir Pura Surat","Super Area","392 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹6,633 per sqft ","₹26 Lac ",561,1,392.00,2600000,6633
"  Office Space for Sale in Jolva Surat","Carpet Area","180 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,Shop,"₹3,947 per sqft ","₹14.2 Lac ",287,1,180.00,1420000,3947
"  Office Space for Sale in Kailash Nagar Surat","Carpet Area","1060 sqft",Resale,"Ready to Move","3 out of 5",NULL,NULL,"The clinic is located in seven square doctor house in kailsh nagar, majura gate. It is available only for doctors and for hospital purpose. It is well connected with railway station and textile market. Also all major hospitals and medical facilities like mri centres, pathology lab , medical stores etc. Are located in 2 km radius. The clinic is well furnishes with ac ,with two consulting room and 2 fully equipped day care facility with beds. It also has reception area with vast sitting area and private pantry. It also has ample parking space.Read more","₹9,000 per sqft ","₹1.65 Cr ",4136,1,1060.00,16500000,9000
"  Office Space for Sale in Kailash Nagar Surat","Super Area","1065 sqft",Resale,"Ready to Move","3 out of 5",NULL,NULL,NULL,"₹8,451 per sqft ","₹90 Lac ",1811,1,1065.00,9000000,8451
"  Office Space for Sale in Kailashdeep Complex, Ring Road Surat","Carpet Area","187 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹8,021 per sqft ","₹15 Lac ",317,1,187.00,1500000,8021
"  Office Space for Sale in Katar Gam Surat","Carpet Area","211 sqft",Resale,"Ready to Move","2 out of 4",NULL,NULL,"Commercial office space is available for sale. It is a good location property. Please contact for more details.Read more","₹9,611 per sqft ","₹39.5 Lac ",324,1,211.00,3950000,9611
"  Office Space for Sale in Katar Gam Surat","Super Area","280 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"  Commercial Office Space is available for Sale in Katar Gam, Surat for 36.0 Lac(s)Read more","₹12,857 per sqft ","₹36 Lac ",68,1,280.00,3600000,12857
"  Office Space for Sale in Katargam Surat","Super Area","200 sqft",Resale,"Ready to Move","2 out of 3",NULL,NULL,NULL,"₹10,000 per sqft ","₹20 Lac ",246,1,200.00,2000000,10000
"  Office Space for Sale in Khatodra Wadi Surat","Super Area","6000 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"Unlock a remarkable opportunity with this spacious Office Space for sale in Khatodra Wadi, Surat. Boasting a generous super area of 6000 square feet, this office space spans across ground plus 2 floors, offering versatility for various business needs.::::::Each floor features an open hall layout, with 2000 square feet of space on each floor, providing ample room for your operations. Common washrooms are available for the convenience of your employees and visitors, and the flooring is done in sturdy cement, ensuring durability.::::::The office enjoys a prominent main road-facing location, ensuring excellent visibility and accessibility. Facilities at this property include open parking for your vehicles and a dependable water supply.::::::Located in a bustling locality, this office space is surrounded by hospitals, malls, supermarkets, banks/ATMs, and other essential amenities. Public transportation options, including buses and autos, are readily available, facilitating smooth connectivity within the city. The railway station is conveniently located just 4 kilometers away, making it easy for employees and clients to access your office.Read more","₹8,333 per sqft ","₹5 Cr ",3741,1,6000.00,50000000,8333
"  Office Space for Sale in Lal Darwaja Surat","Carpet Area","996 sqft",Resale,"Ready to Move","5 out of 6",NULL,NULL,"  Commercial Office Space is available for Sale in Lal Darwaja, Surat for 1.6 Crore(s)Read more","₹8,032 per sqft ","₹1.60 Cr ",3718,1,996.00,16000000,8032
"  Office Space for Sale in Lal Gate Surat",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"₹30 Lac ",360,1,NULL,3000000,NULL
"  Office Space for Sale in Lal Gate Surat","Super Area","688 sqft",Resale,"Ready to Move","2 out of 6",NULL,NULL,"This is situated in lalgate area in old famous building keshav chambers and is a doctor clinic for sale and can be used as private office for any professional businessRead more","₹6,541 per sqft ","₹45 Lac ",1110,1,688.00,4500000,6541
"  Office Space for Sale in Limbayat Surat","Super Area","840 sqft",Resale,"Ready to Move","3 out of 3",NULL,NULL,NULL,"₹11,905 per sqft ","₹1 Cr ",2085,1,840.00,10000000,11905
"  Office Space for Sale in LP Savani Surat","Carpet Area","510 sqft",Resale,"Ready to Move","2 out of 6",NULL,NULL,NULL,"₹9,341 per sqft ","₹59.5 Lac ",1807,1,510.00,5950000,9341
"  Office Space for Sale in Luxuria Business Hub, Dumas Road Surat","Super Area","740 sqft",Resale,"Ready to Move","5 out of 11",NULL,NULL,"740 Sft Carpet area Office Space for Lease  Rent at DUMAS ROAD, Surat.Premises suitable for Commercial Office Space, Financial Institutions, Insurance etc.We Deal in Commercial Office Space in Surat City on Outright Sale  Lease  Rental basis. We also have PAN India presence.For more Property  Investment updates, please Like, Follow  Subscribe our Social Media Links.httpslinktr.eeindiarealtorsRead more","₹9,000 per sqft ","₹66.6 Lac ",1591,1,740.00,6660000,9000
"  Office Space for Sale in Mahalaxmi Market udhna Surat","Super Area","393 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,"  Commercial Office Space is available for Sale in , Surat for 20.0 Lac(s)Read more","₹5,089 per sqft ","₹20 Lac ",110,1,393.00,2000000,5089
"  Office Space for Sale in Majura Gate Surat","Carpet Area","1140 sqft",Resale,"Ready to Move","1 out of 10",NULL,NULL,NULL,"₹5,485 per sqft ","₹99 Lac ",1684,1,1140.00,9900000,5485
"  Office Space for Sale in Majura Gate Surat","Super Area","1840 sqft",Resale,"Ready to Move","3 out of 6",NULL,NULL,"  Commercial Office Space is available for Sale in Majura Gate, Surat for 1.6 Crore(s)Read more","₹9,000 per sqft ","₹1.65 Cr ",3621,1,1840.00,16500000,9000
"  Office Space for Sale in Majura Gate Surat","Super Area","3000 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"  Commercial Office Space is available for Sale in Majura Gate, Surat for 2.0 Crore(s)Read more","₹6,667 per sqft ","₹2 Cr ",3706,1,3000.00,20000000,6667
"  Office Space for Sale in Marvella corridor Surat","Carpet Area","221 sqft",Resale,"Ready to Move","2 out of 3",NULL,NULL,"Commercial office space is available for sale. It covered area of 221 sq-ft, it is a good location property. Please contact::::formore details.Read more","₹7,692 per sqft ","₹17 Lac ",852,1,221.00,1700000,7692
"  Office Space for Sale in Najaf River Front Tower, Adajan Patiya Surat","Carpet Area","896 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"Commercial Office Spa Ramsha tower prime location Adajan patiya Surat Gujaratce is available for sale.Read more","₹8,000 per sqft ","₹1 Cr ",2106,1,896.00,10000000,8000
"  Office Space for Sale in Nan Pura Surat","Carpet Area","750 sqft","New Property","Ready to Move","1 out of 2",NULL,NULL,"It's a 1st floor Power Of Attorney Commercial Office Space in a building of total 2 floors. The age of construction for this apartment Commercial Office Space is between Less than 5 years.Read more","₹6,667 per sqft ","₹50 Lac ",840,1,750.00,5000000,6667
"  Office Space for Sale in Nanpura Surat","Carpet Area","150 sqft",Resale,"Ready to Move","3 out of 3",NULL,NULL,"Vastu Compliant, Furnished with 1.5 Ton Split AC, Half Partition, 2 Main Chairs, 2 Guest Chairs, 2 Side Storage Table, Sofa, Mini Table, Other Storage Box.Read more","₹6,000 per sqft ","₹15 Lac ",595,1,150.00,1500000,6000
"  Office Space for Sale in Nanpura Surat","Carpet Area","400 sqft",Resale,"Ready to Move","2 out of 5",NULL,NULL,"this is a river facing office   furnished office  suitable for c.a  advocate or personal office for any business men.Read more","₹5,578 per sqft ","₹41 Lac ",55,1,400.00,4100000,5578
"  Office Space for Sale in Nanpura Surat","Carpet Area","450 sqft",Resale,"Ready to Move","7 out of 7",NULL,NULL,"Fully Furnished office and good atmosphere with River view","₹6,818 per sqft ","₹45 Lac ",387,1,450.00,4500000,6818
