property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"2 BHK Apartment for Sale in Shyam mandir vesu  phase 2 Surat","Super Area","1100 sqft",Resale,"Ready to Move","1 out of 10",Unfurnished,NULL,NULL,"₹7,273 per sqft ","₹80 Lac ",1758,1,1100.00,8000000,7273
"2 BHK Apartment for Sale in Siddhi Residency, Pal Gam Surat","Carpet Area","889 sqft",Resale,"Ready to Move","5 out of 12",Unfurnished,South,"furnished propertyumra bridge roadall market near by area","₹4,428 per sqft ","₹55 Lac ",2653,1,889.00,5500000,4428
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat","Carpet Area","737 sqft","New Property","Poss. by Nov '25","2 out of 14",Unfurnished,East,"For those looking to buy a residential property, here comes one of the choicest offerings in Surat, at Jahangirabad. This is among the newest addresses for homebuyers. This is an underconstruction project right now, and is expected to be delivered by Jul, 2025. It has a variety of options to choose from that too in a varied budget range.Read more","₹3,800 per sqft ","₹50.9 Lac ",2762,1,737.00,5090000,3800
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat","Super Area","1278 sqft","New Property","Poss. by Jul '25","6 out of 14",Unfurnished,East,"This cozy 2 BHK flat offers good quality and is just a short walk from the metro station, making travel hasslefree. Plus, you can check out a sample flat to see what its like. Its the perfect place for comfortable living.Read more","₹3,861 per sqft ","₹49.3 Lac ",1154,1,1278.00,4930000,3861
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat","Super Area","1278 sqft",NULL,NULL,NULL,NULL,NULL,"NO BROKERAGE ON THIS PROPERTY. A 2bhk flat for sale in a luxurious high rise apartment with the facilities available like garden, children play  area, gym, Net cricket,  banquet hall, 2 automatic auto door lifts etcRead more","₹3,861 per sqft ","₹49.3 Lac ",1882,1,1278.00,4930000,3861
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat","Super Area","1340 sqft","New Property","Poss. by Jul '25","5 out of 14",Unfurnished,East,"DescriptionThis cozy 2 BHK flat offers good quality and is just a short walk from the metro station, making travel hasslefree. Plus, you can check out a sample flat to see what its like. Its the perfect place for comfortable living.Read more","₹3,861 per sqft ","₹51.7 Lac ",2664,1,1340.00,5170000,3861
"2 BHK Apartment for Sale in Siddhi Vinayak Green, Laskana Surat","Carpet Area","710 sqft",Resale,"Ready to Move","4 out of 5",Unfurnished,NULL,NULL,"₹2,839 per sqft ","₹32 Lac ",809,1,710.00,3200000,2839
"2 BHK Apartment for Sale in Siddhi Vinayak Heights, Pal Surat","Super Area","1200 sqft",Resale,"Ready to Move","7 out of 14",Unfurnished,East,"2.5 BHK Flat for sell in Jahangirabadarea with all amenities.","₹3,750 per sqft ","₹45 Lac ",263,1,1200.00,4500000,3750
"2 BHK Apartment for Sale in Siddhi Vinayak Heights, Pal Surat","Super Area","1205 sqft",Resale,"Ready to Move","8 out of 14",Unfurnished,South-West,"Very reasonable rate in pal, ready to move flats. Dont miss good location flatsRead more","₹3,611 per sqft ","₹43.5 Lac ",1387,1,1205.00,4350000,3611
"2 BHK Apartment for Sale in Siddhi Vinayak Heights, Pal Surat","Super Area","1208 sqft",Resale,"Ready to Move","11 out of 13",Semi-Furnished,NULL,NULL,"₹4,222 per sqft ","₹51 Lac ",1624,1,1208.00,5100000,4222
